,num_cp,dim_h0_amb_1,dim_h0_amb_2,dim_h0_amb_3,dim_h0_amb_4,dim_h0_amb_5,dim_h0_amb_6,dim_h0_amb_7,dim_h0_amb_8,dim_h0_amb_9,dim_h0_amb_10,dim_h0_amb_11,dim_h0_amb_12,dim_h0_amb_13,dim_h0_amb_14,dim_h0_amb_15,dim_h0_amb_16,dim_h0_amb_17,dim_h0_amb_18,dim_cp_1,dim_cp_2,dim_cp_3,dim_cp_4,dim_cp_5,dim_cp_6,dim_cp_7,dim_cp_8,dim_cp_9,dim_cp_10,dim_cp_11,dim_cp_12,dim_cp_13,dim_cp_14,dim_cp_15
828,10,6,4,4,6,6,6,6,8,8,24,8,9,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,0,0,0,0,0
3194,8,6,4,4,8,6,6,16,12,24,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
5761,7,6,4,4,6,9,9,9,54,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
6968,5,8,8,16,8,8,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0
6746,4,24,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
6464,7,6,4,4,6,9,6,27,27,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
4315,8,6,6,6,6,6,6,6,18,27,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
7038,4,36,9,12,9,12,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0
1643,9,6,6,6,6,8,8,8,8,8,8,12,12,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,0,0,0,0,0,0
1402,9,6,4,4,8,6,16,6,8,8,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,0,0,0,0,0,0
