,num_cp
2161,6
2162,5
2163,6
2164,6
2165,7
2166,10
2167,7
2168,6
2169,9
2170,6
2171,6
2172,7
2173,9
2174,7
2175,7
2176,9
2177,7
2178,9
2179,7
2180,6
2181,4
2182,8
2183,4
2184,7
2185,6
2186,5
2187,5
2188,5
2189,8
2190,7
2191,7
2192,7
2193,4
2194,6
2195,7
2196,7
2197,7
2198,7
2199,7
2200,6
2201,8
2202,7
2203,6
2204,9
2205,7
2206,5
2207,5
2208,6
2209,6
2210,7
2211,6
2212,6
2213,7
2214,8
2215,6
2216,6
2217,5
2218,8
2219,10
2220,8
2221,6
2222,6
2223,7
2224,8
2225,6
2226,6
2227,7
2228,8
2229,7
2230,5
2231,8
2232,7
2233,5
2234,5
2235,5
2236,6
2237,6
2238,7
2239,5
2240,7
2241,6
2242,8
2243,7
2244,5
2245,7
2246,7
2247,7
2248,7
2249,8
2250,5
2251,3
2252,6
2253,4
2254,5
2255,7
2256,7
2257,6
2258,6
2259,9
2260,4
2261,8
2262,5
2263,8
2264,7
2265,8
2266,5
2267,7
2268,7
2269,7
2270,6
2271,7
2272,6
2273,3
2274,5
2275,9
2276,7
2277,10
2278,6
2279,7
2280,5
2281,7
2282,5
2283,9
2284,6
2285,7
2286,6
2287,3
2288,7
2289,8
2290,5
2291,5
2292,10
2293,6
2294,8
2295,6
2296,6
2297,7
2298,10
2299,7
2300,5
2301,3
2302,6
2303,6
2304,8
2305,6
2306,6
2307,6
2308,8
2309,7
2310,3
2311,8
2312,6
2313,5
2314,6
2315,7
2316,9
2317,6
2318,6
2319,8
2320,7
2321,3
2322,7
2323,4
2324,4
2325,8
2326,7
2327,7
2328,8
2329,6
2330,5
2331,5
2332,6
2333,7
2334,6
2335,7
2336,2
2337,7
2338,7
2339,5
2340,9
2341,7
2342,7
2343,10
2344,7
2345,5
2346,6
2347,6
2348,7
2349,5
2350,9
2351,8
2352,5
2353,9
2354,9
2355,8
2356,8
2357,7
2358,8
2359,8
2360,7
2361,3
2362,6
2363,6
2364,6
2365,6
2366,6
2367,8
2368,5
2369,8
2370,7
2371,8
2372,5
2373,5
2374,3
2375,6
2376,9
2377,8
2378,9
2379,7
2380,5
2381,6
2382,6
2383,8
2384,8
