,num_cp,dim_cp_1,dim_cp_2,dim_cp_3,dim_cp_4,dim_cp_5,dim_cp_6,dim_cp_7,dim_cp_8,dim_cp_9,dim_cp_10,dim_cp_11,dim_cp_12,dim_cp_13,dim_cp_14,dim_cp_15
4244,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
5359,5,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0
2130,8,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
5078,6,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0
456,11,1,1,1,1,1,1,2,2,2,2,3,0,0,0,0
1950,9,1,1,1,1,2,2,2,2,3,0,0,0,0,0,0
689,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
6208,6,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0
7576,4,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0
1953,9,1,1,1,1,2,2,2,2,3,0,0,0,0,0,0
2710,9,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
5833,5,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
4349,6,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0
6960,5,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0
1884,9,1,1,1,1,1,1,2,2,3,0,0,0,0,0,0
7124,4,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0
7063,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
2494,7,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0
3036,8,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
3603,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
845,10,1,1,1,1,1,1,2,2,2,3,0,0,0,0,0
542,11,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0
3724,7,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
4187,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
3679,7,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
6273,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
6428,6,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
5394,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
2964,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
2529,7,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
1048,9,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
1960,8,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
2530,12,1,1,1,1,1,1,1,1,2,2,2,2,0,0,0
5784,5,1,2,2,2,4,0,0,0,0,0,0,0,0,0,0
237,11,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0
4917,7,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
1133,10,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
6499,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
4259,8,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
5832,5,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
5905,7,1,1,1,1,2,2,4,0,0,0,0,0,0,0,0
6059,6,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
2978,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
6220,5,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
6950,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
5300,5,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0
5857,6,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0
3919,6,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0
3138,9,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
7248,4,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0
4073,5,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
6750,5,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0
3229,7,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
1826,9,1,1,1,1,2,2,2,2,3,0,0,0,0,0,0
593,10,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
2725,8,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
4137,5,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0
560,10,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
6157,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
7608,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
243,11,1,1,1,1,1,1,1,2,2,2,3,0,0,0,0
4437,6,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0
5444,6,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
405,11,1,1,1,1,1,1,2,2,2,2,3,0,0,0,0
1442,10,1,1,1,1,1,1,2,2,2,3,0,0,0,0,0
261,11,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0
5263,5,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0
7157,5,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0
1689,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
1725,8,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0
4930,8,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
2496,9,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0
5277,6,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0
340,11,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0
5480,6,1,1,1,1,4,4,0,0,0,0,0,0,0,0,0
1601,9,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
4576,7,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
3725,7,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
7769,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2785,9,1,1,1,1,1,1,2,2,3,0,0,0,0,0,0
1523,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
